"Keyword","Search Volume","Ranking Difficulty","Total Monthly Clicks","Mobile Search Percent","Desktop Search Percent","Searches Not Clicked Percent","Paid Clicks Percent","Organic Clicks Percent","Broad Cost Per Click","Phrase Cost Per Click","Exact Cost Per Click","Broad Monthly Clicks","Phrase Monthly Clicks","Exact Monthly Clicks","Broad Monthly Cost","Phrase Monthly Cost","Exact Monthly Cost","Ads","Number of Ranking Homepages","SERP Features CSV","Serp First Result","Is Question?","Is Not Safe For Work?","Current SERP (1)","Previous SERP (2)","Past SERP (3)","Past SERP (4)","Past SERP (5)","Past SERP (6)"
"sink water filter","70","24","40","0.637209157127992","0.362790842872008","0.432258064516129","0.482954542710486","0.517045451607696","1.74","","1.74","0","","0","76.85","","76.85","10","4","Images,People Also Ask,Videos","purewatersystems.com.au","False","False","","filtersystemsaustralia.com.au,completehomefiltration.com.au,h2ostores.com,filteredwatersolutions.com.au,cleanandclearwater.com.au,puretec.com.au,drinkrippl.com,filtap.com.au,tappwater.com.au","filtersystemsaustralia.com.au,completehomefiltration.com.au,puretec.com.au,philips.com.au","","",""
"full home water filtration system","36","24","28","0.296354453627181","0.703645546372819","0.212121212121212","0.423076906804734","0.576923054733729","","","","","","","","","","25","14","Images,People Also Ask,Videos","completehomefiltration.com.au","False","False","google.com,wateranalytics.com.au,waterfilter.com.au,filtersforyou.com.au,aquaserve.com.au","wateranalytics.com.au,waterfilter.com.au,cleanandclearwater.com.au,purewaterfiltration.com.au,purestwaterfiltration.com.au,filtap.com.au,filtermate.com.au,mrsplashplumbing.com.au,google.com","wateranalytics.com.au,purestwaterfiltration.com.au,cleanandclearwater.com.au,filtersystemsaustralia.com.au,networkplumbing.com.au,purpleduck.com.au,safemains.com.au,ecovenza.com,minthomefiltration.com,filpure.com.au,tryselene.com.au,fullhousefiltration.com.au,pureflowfiltration.com.au,purewaterfiltration.com.au","wateranalytics.com.au,smartenergy.co,cleanandclearwater.com.au,filtap.com.au,purestwaterfiltration.com.au,networkplumbing.com.au","waterfilter.com.au,smartenergy.co,wateranalytics.com.au,cleanandclearwater.com.au,filtap.com.au,purestwaterfiltration.com.au,reactiveplumbingandelectrical.com.au,filpure.com.au","wateranalytics.com.au,cleanandclearwater.com.au,smartenergy.co,waterfilter.com.au,purestwaterfiltration.com.au,filpure.com.au"
"house water filter","36","","20","0.761456255523292","0.238543744476707","0.418539325842697","0.420289853042078","0.579710142127004","1.5","","1.5","1","","1","196.75","","196.75","1","20","Images,People Also Ask","puretec.com.au","False","False","","","","","",""
"water filter system","280","56","145","0.625937468983465","0.374062531016535","0.486381322957198","0.392676767180964","0.60732323155641","2.42","","2.42","2","","2","638.99","","638.99","22","24","Images,People Also Ask","filtersystemsaustralia.com.au","False","False","filtersystemsaustralia.com.au,waterdropfilter.com.au","filtersystemsaustralia.com.au,wateranalytics.com.au,nsf.org,aquacoolerdirect.com.au","filtersystemsaustralia.com.au,waterfilter.net.au,sunshinecoastwaterfilters.com.au,summitfiltration.com.au,wateranalytics.com.au,filpure.com.au,cleanandclearwater.com.au,tryselene.com.au","reactiveplumbingandelectrical.com.au,wateranalytics.com.au,filpure.com.au,cleanandclearwater.com.au,aquastream.com.au,pure2o.com.au,filtersystemsaustralia.com.au,sunshinecoastwaterfilters.com.au,waterfilter.net.au,daveywater.com","reactiveplumbingandelectrical.com.au,filteredwatersolutions.com.au,smartenergy.co,filtersystemsaustralia.com.au,sunshinecoastwaterfilters.com.au,filtap.com.au,wateranalytics.com.au,greatwaterfilters.com.au","filtersystemsaustralia.com.au,wateranalytics.com.au,alkaviva.com.au"
"water filter whole house","","","","0.484927670052324","0.515072329947676","0.280701754385965","0.390243892920881","0.609756082688876","","","","","","","","","","3","25","Images,People Also Ask","simplyfiltration.com.au","False","False","waterfilter.com.au,aquastream.com.au","","","","","completehomefiltration.com.au"
"water purifier","1800","52","780","0.597506951775566","0.402493048224433","0.566824644549763","0.380743982077961","0.619256016827948","1.48","","1.48","4","","4","999.5","","999.5","38","22","Images,People Also Ask","joycemayne.com.au","False","False","philips.com.au,waterdropfilter.com.au,smarth2o.com.au,thewaterfiltrationcompany.com.au,waterscoaustralia.com.au,inflowfilter.com,purewaterfiltration.com.au,kynandfolk.com,filtersystemsaustralia.com.au,google.com,purewatersystems.com.au,aquaserve.com.au","novoh2o.com.au,waterdropfilter.com.au,purewatersystems.com.au,waterscoaustralia.com.au,smarth2o.com.au,alkaviva.com.au,filtersystemsaustralia.com.au,cleanandclearwater.com.au,filteredwatersolutions.com.au,purewaterfiltration.com.au,wateranalytics.com.au,mrsplashplumbing.com.au,filpure.com.au,kynandfolk.com,google.com,completehomefiltration.com.au","hytekwaterconditioningfl.com,rorra.com,waterscoaustralia.com.au,43water.com,titanwatersolutions.com,atlanticfilterpolk.com,theh2oheroes.com,leafhomewatersolutions.com,novoh2o.com.au,cleanandclearwater.com.au","hytekwaterconditioningfl.com,purevivausa.com,culligan.com,leafhomewatersolutions.com,acquivaro.com,purewaterfiltration.com.au,clearhavenwaterfiltration.com.au,filtersystemsaustralia.com.au","leafhomewatersolutions.com,home-water-filtration.com,hytekwaterconditioningfl.com,drinkflowater.com,tampaculligan.com,wisewell.com","home-water-filtration.com,kindwater.com"
"house water filter system","","38","","0.708475665748393","0.291524334251607","0.439393939393939","0.378378368151936","0.621621604821038","","","","","","","","","","10","14","Images,People Also Ask,Videos","filtersystemsaustralia.com.au","False","False","","filtersystemsaustralia.com.au,pureflowfiltration.com.au","homewaterfiltration.com.au,filtersystemsaustralia.com.au","","filtersystemsaustralia.com.au,filpure.com.au,wateranalytics.com.au,cleanandclearwater.com.au,waterfilterdistributors.com.au,puretec.com.au",""
"water filter","5400","55","2400","0.52966017021717","0.47033982978283","0.554294478527607","0.337921541521706","0.662078458134178","1.34","","1.34","14","","14","4022.14","","4022.14","41","28","Images,People Also Ask","waterfilter.au","False","False","filtersystemsaustralia.com.au,wateranalytics.com.au,google.com,inflowfilter.com,waterscoaustralia.com.au,purewatersystems.com.au,ecobud.com.au,zipwater.com,waterdropfilter.com.au,philips.com.au,carawater.com.au,culligan.com.au,kynandfolk.com,filteredwatersolutions.com.au,filpure.com.au","filpure.com.au,filteredwatersolutions.com.au,cleanandclearwater.com.au,culligan.com.au,filtersystemsaustralia.com.au,wateranalytics.com.au,philips.com.au,kynandfolk.com,waterscoaustralia.com.au,waterdropfilter.com.au,wellverti.com.au,alkaviva.com.au,novoh2o.com.au,roseplumbing.com.au,lordsplumbing.com.au,greatwaterfilters.com.au,zazenalkalinewater.com.au,google.com","leafhomewatersolutions.com,springwellwater.com,hydroviv.com,waterfilter.net.au,filtersystemsaustralia.com.au,titanwatersolutions.com,waterscoaustralia.com.au,kynandfolk.com,novoh2o.com.au,lordsplumbing.com.au,wellverti.com.au,cleanandclearwater.com.au,purezafilters.com,43water.com,kindwater.com,tampaculligan.com,goodlifec.netlify.app","completehomefiltration.com.au,culligan.com.au,filtersystemsaustralia.com.au,purezafilters.com,springwellwater.com,kindwater.com,aquacoolerdirect.com.au,leafhomewatersolutions.com,wateranalytics.com.au,novoh2o.com.au,alkaviva.com.au","leafhomewatersolutions.com,waterfilter.com.au,flowpure.com,carawater.com.au,novoh2o.com.au,wateranalytics.com.au,waterfilter.net.au,filpure.com.au,waterscoaustralia.com.au,kindwater.com,filtersystemsaustralia.com.au,ecobud.com.au,springwellwater.com,drinkflowater.com","cleannectarine.com.au,filtersystemsaustralia.com.au,home-water-filtration.com,leafhomewatersolutions.com,kindwater.com"
"home water filtration system","70","46","44","0.58439269270496","0.41560730729504","0.376569037656904","0.295302012431872","0.704697984212423","2.01","","2.01","0","","0","107.78","","107.78","31","27","Images,People Also Ask,Videos","freshwatersystems.com.au","False","False","google.com,puremainswater.com.au,homewaterfiltration.com.au","waterfilter.com.au,filpure.com.au,purewaterfiltration.com.au,homewaterfiltration.com.au,puretec.com.au,cleanandclearwater.com.au","networkplumbing.com.au,wateranalytics.com.au,filpure.com.au,cloudtap.com.au,filtersystemsaustralia.com.au,sunshinecoastwaterfilters.com.au,summitfiltration.com.au,hydrotechgroup.com.au,purewaterfiltration.com.au,pureflowfiltration.com.au,tryselene.com.au,thinkwater.com.au,sznobana.com,inflowfilter.com,cleanandclearwater.com.au","trendhs.com.au,wateranalytics.com.au,sunshinecoastwaterfilters.com.au,homewaterfiltration.com.au,smartenergy.co,filtersystemsaustralia.com.au","smartenergy.co","puretec.com.au,wateranalytics.com.au,waterfilter.com.au,filpure.com.au,smartenergy.co,purestwaterfiltration.com.au"
"whole home water filter","36","28","24","0.737933104131461","0.262066895868539","0.338422391857506","0.276923075857988","0.723076920295858","1.5","","1.5","0","","0","132.94","","132.94","5","14","Images,People Also Ask,Videos","selectplumbingandgas.com.au","False","False","waterfilter.com.au,filtersystemsaustralia.com.au,wateranalytics.com.au","","puretec.com.au,wateranalytics.com.au,filtersystemsaustralia.com.au","","",""
